group_k,group_l,epsilon_kl/kB [K],sigma_kl [Ang],sigma_kl [m],lambda_r_kl,lambda_a_kl,d_kl [Ang],d_kl [m],C_kl (Mie prefactor),a1_kl [K.m3],source_eps,source_sigma,source_lambda_r,source_lambda_a
CH2OH,cNH,480.6594,4.193200,4.193200e-10,21.0237,6.0000,4.191177,4.191177e-10,2.308933,-2.044724e+03,CR,CR,CR,CR
CH2OH,cN,257.2269,4.008700,4.008700e-10,11.8794,6.0000,3.868377,3.868377e-10,4.056869,-1.316649e+03,CR,CR,CR,CR
CH2OH,cCHNH,487.2531,4.452700,4.452700e-10,14.0847,6.0000,4.439281,4.439281e-10,3.281853,-2.404713e+03,CR,CR,CR,CR
CH2OH,cCHN,523.6069,3.925414,3.925414e-10,12.9260,6.0000,3.911324,3.911324e-10,3.628520,-2.687063e+03,CR,CR,CR,CR
CH2OH_Short,CH2OH_Short,407.2200,3.405400,3.405400e-10,22.6990,6.0000,3.402446,3.402446e-10,2.192509,-1.691398e+03,self,self,self,self
CH2OH_Short,NH2,340.2563,3.326570,3.326570e-10,14.9538,6.0000,3.281446,3.281446e-10,3.079711,-1.623297e+03,CR,CR,CR,CR
CH2OH_Short,NH,201.6493,3.331096,3.331096e-10,21.2993,6.0000,3.260572,3.260572e-10,2.288096,-8.188021e+02,CR,CR,CR,CR
CH2OH_Short,N,159.5119,3.240444,3.240444e-10,13.7781,6.0000,3.102846,3.102846e-10,3.363727,-7.180217e+02,CR,CR,CR,CR
CH2OH_Short,OH,402.9190,3.102200,3.102200e-10,21.6738,6.0000,3.098687,3.098687e-10,2.260906,-1.697295e+03,CR,CR,CR,CR
CH2OH_Short,OH_Short,402.9354,3.102600,3.102600e-10,21.6738,6.0000,3.099087,3.099087e-10,2.260906,-1.697363e+03,CR,CR,CR,CR
CH2OH_Short,cCH2,422.2636,4.095300,4.095300e-10,21.5064,6.0000,4.091954,4.091954e-10,2.272903,-1.783299e+03,CR,CR,CR,CR
CH2OH_Short,cCH,492.9558,4.408500,4.408500e-10,12.9245,6.0000,4.390986,4.390986e-10,3.629067,-2.529801e+03,CR,CR,CR,CR
CH2OH_Short,cNH,480.6594,4.193200,4.193200e-10,21.0237,6.0000,4.191177,4.191177e-10,2.308933,-2.044724e+03,CR,CR,CR,CR
CH2OH_Short,cN,257.2269,4.008700,4.008700e-10,11.8794,6.0000,3.868377,3.868377e-10,4.056869,-1.316649e+03,CR,CR,CR,CR
