Group_k,Group_l,a1_kl [K.m^3],Delta_kl [m^3],eps_kl/kB [K],sigma_kl [A],d_kl [A],lambda_r_kl,lambda_a_kl
OH,OH,-1.753551e+03,5.813968e-25,410.3100,2.7990,2.7949,20.7020,6.0000
OH,OH_Short,-1.753548e+03,2.906907e-25,410.3095,2.7994,2.7953,20.7020,6.0000
OH,cCH2,-1.613603e+03,0.000000e+00,376.5700,3.7921,3.7882,20.5433,6.0000
OH,cCH,-2.389952e+03,0.000000e+00,456.6037,4.1053,4.0872,12.4080,6.0000
OH,cNH,-1.944050e+03,1.140650e-25,450.3177,3.8900,3.8874,20.0857,6.0000
OH,cN,-1.266956e+03,0.000000e+00,243.6016,3.7055,3.5646,11.4173,6.0000
OH,cCHNH,-2.264258e+03,1.887083e-25,450.3304,4.1495,4.1355,13.5078,6.0000
OH,cCHN,-2.608981e+03,0.000000e+00,498.4632,3.6222,3.6076,12.4095,6.0000
OH_Short,OH_Short,-1.753546e+03,5.813658e-25,410.3090,2.7998,2.7957,20.7020,6.0000
OH_Short,cCH2,-1.704882e+03,0.000000e+00,397.8720,3.7925,3.7886,20.5433,6.0000
OH_Short,cCH,-2.390275e+03,0.000000e+00,456.6654,4.1057,4.0876,12.4080,6.0000
OH_Short,cNH,-1.944281e+03,2.281245e-25,450.3713,3.8904,3.8878,20.0857,6.0000
OH_Short,cN,-1.267104e+03,0.000000e+00,243.6269,3.7059,3.5650,11.4173,6.0000
OH_Short,cCHNH,-2.264571e+03,3.774100e-25,450.3927,4.1499,4.1359,13.5078,6.0000
OH_Short,cCHN,-2.609232e+03,0.000000e+00,498.5111,3.6226,3.6080,12.4095,6.0000
cCH2,cCH2,-2.050760e+03,0.000000e+00,477.3620,4.7852,4.7815,20.3860,6.0000
cCH2,cCH,-1.689672e+03,0.000000e+00,321.7053,5.0984,5.0805,12.3236,6.0000
cCH2,cNH,-2.620490e+03,0.000000e+00,605.4529,4.8831,4.8807,19.9326,6.0000
cCH2,cN,-2.867888e+03,0.000000e+00,536.6580,4.6986,4.5579,11.3418,6.0000
cCH2,cCHNH,-2.456054e+03,0.000000e+00,486.8825,5.1426,5.1288,13.4136,6.0000
cCH2,cCHN,-3.939272e+03,0.000000e+00,750.0597,4.6153,4.6008,12.3251,6.0000
cCH,cCH,-4.855194e+03,0.000000e+00,699.9232,5.4116,5.3795,8.0000,6.0000
cCH,cNH,-3.519060e+03,0.000000e+00,663.3436,5.1963,5.1797,12.0805,6.0000
cCH,cN,-2.564273e+03,0.000000e+00,345.6947,5.0118,4.8569,7.4735,6.0000
cCH,cCHNH,-4.560167e+03,0.000000e+00,695.6593,5.4558,5.4278,8.5845,6.0000
cCH,cCHN,-4.818922e+03,0.000000e+00,694.8015,4.9285,4.8999,8.0008,6.0000
cNH,cNH,-2.755701e+03,5.310171e-26,631.9247,4.9810,4.9799,19.4909,6.0000
cNH,cN,-4.402525e+03,7.411771e-29,812.2646,4.7965,4.6571,11.1242,6.0000
cNH,cCHNH,-3.354039e+03,8.908143e-26,658.6391,5.2405,5.2280,13.1420,6.0000
cNH,cCHN,-3.535947e+03,0.000000e+00,666.5780,4.7132,4.7001,12.0819,6.0000
cN,cN,-1.352424e+03,0.000000e+00,174.0414,4.6120,4.3343,7.0024,6.0000
cN,cCHNH,-2.384819e+03,0.000000e+00,342.9235,5.0560,4.9052,7.9965,6.0000
cN,cCHN,-2.603638e+03,0.000000e+00,351.3424,4.5287,4.3773,7.4742,6.0000
cCHNH,cCHNH,-4.298186e+03,1.242123e-25,691.5576,5.5000,5.4761,9.2374,6.0000
cCHNH,cCHN,-4.515236e+03,0.000000e+00,688.9263,4.9727,4.9482,8.5854,6.0000
cCHN,cCHN,-4.923390e+03,0.000000e+00,709.9852,4.4454,4.4202,8.0016,6.0000
